"layout.xaxis.categoryarray","data.1.y","data.1.x","data.1.hoverinfo","data.1.text","data.2.y","data.2.x","data.2.hoverinfo","data.2.text","data.2.marker.size","data.3.y","data.3.x","layout.xaxis.categoryarray-2533db3be7","data.1.y-2532e39bcab","data.1.x-25350919642","data.1.hoverinfo-25361ff061","data.1.text-2531ade736b","data.2.y-25326b8395","data.2.x-253608bac70","data.2.hoverinfo-25371e61e94","data.2.text-2533ae1c0f7","data.2.marker.size-2533b43b654","data.3.y-2535a776331","data.3.x-2535411545d","layout.xaxis.categoryarray-7f678eedce6","data.1.y-7f69e8be11","data.1.x-7f6f16532c","data.1.hoverinfo-7f62ae7571","data.1.text-7f6ba04f17","data.2.y-7f649a874f7","data.2.x-7f6529729e8","data.2.hoverinfo-7f6424068b4","data.2.text-7f6129a2367","data.2.marker.size-7f6458a48bb","data.3.y-7f679ad10a7","data.3.x-7f651208259","data.3.hoverinfo-7f62d4dcaab","data.3.text-7f64e34b7c9","layout.xaxis.categoryarray-80e49c39766","data.1.y-80e4808cf5f","data.1.x-80e3a668aeb","data.1.hoverinfo-80e222a6841","data.1.text-80ee2294ed","data.2.y-80e5f5adb","data.2.x-80e7445e00d","data.2.hoverinfo-80e1778b11e","data.2.text-80e74b4349b","data.2.marker.size-80e62e9e7f8","data.3.y-80e6a7c7d83","data.3.x-80e13145a13","data.3.hoverinfo-80e1d259f2e","data.3.text-80e10f593f5","layout.xaxis.categoryarray-3e053cc9165","data.1.y-3e01b5da8de","data.1.x-3e021f994db","data.1.hoverinfo-3e089bc74a","data.1.text-3e02b38cfb0","data.2.y-3e01ecb41fb","data.2.x-3e03258d588","data.2.hoverinfo-3e0662aed8a","data.2.text-3e0c51336d","data.2.marker.size-3e027073f6c","data.3.y-3e04cd4df78","data.3.x-3e02b9b66b0","data.3.hoverinfo-3e06772c32d","data.3.text-3e01f6bf46a","layout.xaxis.categoryarray-3de2f19fbe6","data.1.y-3de52e8d132","data.1.x-3de32fe5424","data.1.hoverinfo-3de574621a3","data.1.text-3de3d4a8118","data.2.y-3de66616e17","data.2.x-3de682dc84","data.2.hoverinfo-3de795b6172","data.2.text-3de5e5ac19c","data.2.marker.size-3de185d1929","data.3.y-3de81edf3e","data.3.x-3de22d2639c","data.3.hoverinfo-3de2289a8a0","data.3.text-3de7b9db216","layout.xaxis.categoryarray-aa6743992b7","data.1.y-aa66fcf67fd","data.1.x-aa619b44c64","data.1.hoverinfo-aa6c03466b","data.1.text-aa62b0420f6","data.2.y-aa61c100c8a","data.2.x-aa661a7466a","data.2.hoverinfo-aa62d000b3c","data.2.text-aa65de1a738","data.2.marker.size-aa69a97daf","data.3.y-aa6567a711d","data.3.x-aa6985346","data.3.hoverinfo-aa6108318f8","data.3.text-aa6edc4a40","layout.xaxis.categoryarray-9db1db8228d","data.1.y-9db23e46639","data.1.x-9db67f33a97","data.1.hoverinfo-9db118bc4d2","data.1.text-9db6f26bffd","data.2.y-9db5906b40d","data.2.x-9db4716ef24","data.2.hoverinfo-9db32ae48f2","data.2.text-9db503721dc","data.2.marker.size-9db53901ba8","data.3.y-9db1a07dd74","data.3.x-9db7a5bf805","data.3.hoverinfo-9db2bf84f05","data.3.text-9db3b0be7d0","layout.xaxis.categoryarray-78f64bf4bc96","data.1.y-78f6308942cf","data.1.x-78f63813cee","data.1.hoverinfo-78f619c72f0e","data.1.text-78f663e24d5a","data.2.y-78f61e4482f1","data.2.x-78f623f0abbd","data.2.hoverinfo-78f6d9b17ba","data.2.text-78f64132bb50","data.2.marker.size-78f669a7a2a0","data.3.y-78f67ca5ec90","data.3.x-78f6714e21de","data.3.hoverinfo-78f64091afef","data.3.text-78f61cb59507","data.1.y-13a446197f6f","data.1.x-13a433fd745d","data.1.hoverinfo-13a444e2a055","data.1.text-13a47a8c4fc7","data.2.y-13a411c9d0ac","data.2.x-13a458a2d553","data.2.hoverinfo-13a42a63699b","data.2.text-13a464aa54da","data.2.marker.size-13a46aa8e7d7","data.2.textfont.size-13a4770d0af5","data.3.y-13a4794a97e2","data.3.x-13a41039b4a4","data.1.y-604f6af30549","data.1.x-604f78e03279","data.1.hoverinfo-604f4711e3ee","data.1.text-604f678b42b5","data.2.y-604f67c8ae2e","data.2.x-604f2823833d","data.2.hoverinfo-604f337d2e61","data.2.text-604f5f6ffcaf","data.2.marker.size-604f3136761c","data.2.textfont.size-604f6e844181","data.3.y-604f2ce8b4d6","data.3.x-604f61b864a2","data.3.hoverinfo-604f10d6f9cd","data.3.text-604f11aa0a5e","data.1.y-8d884b6f775c","data.1.x-8d883055fb5","data.1.hoverinfo-8d8855ce659f","data.1.text-8d886171d5bb","data.2.y-8d88788719f7","data.2.x-8d886db9e4f2","data.2.hoverinfo-8d8847660425","data.2.text-8d887a9a3dc1","data.2.marker.size-8d88244c88c9","data.2.textfont.size-8d881ca856bd","data.3.y-8d886fd6a0fd","data.3.x-8d8873e37b67","data.3.hoverinfo-8d885bbae2a1","data.3.text-8d884a74e713","data.1.y-fc2b1787fc5e","data.1.x-fc2b60c98b63","data.1.hoverinfo-fc2b4fde4239","data.1.text-fc2b8cdd526","data.2.y-fc2b164b64e","data.2.x-fc2b7afcbb98","data.2.hoverinfo-fc2b6680373c","data.2.text-fc2b6baa78b6","data.2.marker.size-fc2b4db2bf3","data.2.textfont.size-fc2b51226102","data.3.y-fc2b280ef3eb","data.3.x-fc2b6dafddd8","data.3.hoverinfo-fc2b350dc82a","data.3.text-fc2b1bd0589c","data.1.y-217c2a134866","data.1.x-217c57f6361e","data.1.hoverinfo-217c655b18af","data.1.text-217c3fb1bd25","data.2.y-217c2df8e8ce","data.2.x-217c307c43f6","data.2.hoverinfo-217c2e51e458","data.2.text-217c266652a","data.2.marker.size-217c107ba9a1","data.2.textfont.size-217c26bd917b","data.3.y-217c679a361b","data.3.x-217c3d565bc0","data.3.hoverinfo-217c70a1b9b5","data.3.text-217c9a753d8","data.1.y-4fed3a711342","data.1.x-4fed55a77007","data.1.hoverinfo-4fed63ac077f","data.1.text-4fed332055f8","data.2.y-4fedfec2701","data.2.x-4fed58f4bad1","data.2.hoverinfo-4fed2b151cf7","data.2.text-4fed7720b239","data.2.marker.size-4fed394f949","data.2.textfont.size-4fed297a2975","data.1.y-5e0147d803f0","data.1.x-5e0136eaa669","data.1.hoverinfo-5e01675353a9","data.1.text-5e01f99b13e","data.2.y-5e0133436572","data.2.x-5e01db939a9","data.2.hoverinfo-5e017b788d48","data.2.text-5e012783b14c","data.2.marker.size-5e0136ed08d8","data.2.textfont.size-5e013dfb914","data.3.y-5e0154efd208","data.3.x-5e014cc636c8","data.1.y-17e412c528ce","data.1.x-17e44df9f602","data.1.hoverinfo-17e45586254c","data.1.text-17e459facc71","data.2.y-17e460843cdd","data.2.x-17e49b802ac","data.2.hoverinfo-17e4fb76f30","data.2.text-17e453e4c05f","data.2.marker.size-17e44f11c800","data.2.textfont.size-17e41861a08e","data.3.y-17e43173d723","data.3.x-17e42c315432","data.3.hoverinfo-17e45a8eb548","data.3.text-17e44f1fb86a","data.1.y-67764fe47ac2","data.1.x-677621377f88","data.1.hoverinfo-67764295cac1","data.1.text-67767832670d","data.2.y-6776350bc421","data.2.x-677617796dbc","data.2.hoverinfo-677625135dae","data.2.text-67761a6b5d86","data.2.marker.size-67767ec915f6","data.2.textfont.size-677643c10a81","data.3.y-67763698bde7","data.3.x-677665dba4b1","data.3.hoverinfo-6776371994b5","data.3.text-677670721355","data.1.y-a1fa721a5133","data.1.x-a1fa1dc925cb","data.1.hoverinfo-a1fad041b4","data.1.text-a1fa688990d6","data.2.y-a1fa1f840738","data.2.x-a1fa14f5fdb2","data.2.hoverinfo-a1fa21e2bbde","data.2.text-a1fa2c9bfd33","data.2.marker.size-a1fa350c3626","data.2.textfont.size-a1fa34b713ff","data.3.y-a1fa5f81e562","data.3.x-a1fa48fab5ea","data.3.hoverinfo-a1fa43bd3b14","data.3.text-a1fa3c71c0ca","data.1.y-49954004549e","data.1.x-49955c4f71e7","data.1.hoverinfo-499563bf2409","data.1.text-499519d6fe08","data.2.y-499571bfcc78","data.2.x-49956709149f","data.2.hoverinfo-49955290792","data.2.text-499548b004e3","data.2.marker.size-49951c10f85d","data.2.textfont.size-49951e21b010","data.3.y-499535adf9e4","data.3.x-499530f10344","data.3.hoverinfo-49951f0d7e76","data.3.text-49952ee984e7","data.1.y-49956dd050b1","data.1.x-4995761ccca","data.1.hoverinfo-499525cbe58f","data.1.text-49956d4c22ab","data.2.y-49952178409c","data.2.x-49955dd9d2ee","data.2.hoverinfo-49957a73765","data.2.text-49957325cbcf","data.2.marker.size-49953667be18","data.2.textfont.size-499554f1358f","data.3.y-499527f36ada","data.3.x-49955dec22b3","data.3.hoverinfo-499539da45f1","data.3.text-49952925eee3","data.1.y-58a86715e0c2","data.1.x-58a84d57156d","data.1.hoverinfo-58a8103fcec6","data.1.text-58a84d20317f","data.2.y-58a87c91b067","data.2.x-58a840d47a15","data.2.hoverinfo-58a83d9b19f3","data.2.text-58a811c4c01e","data.2.marker.size-58a8c20faaf","data.2.textfont.size-58a84929fd61","data.1.y-716a12e14be2","data.1.x-716a53cec1d","data.1.hoverinfo-716a62b1669a","data.1.text-716a6cc73b14","data.2.y-716abf7d5d7","data.2.x-716a3bf81c64","data.2.hoverinfo-716a1e1007fe","data.2.text-716a2e7cc41d","data.2.marker.size-716a12f63c3","data.2.textfont.size-716a4e3e97d0","data.3.y-716a6f6100d1","data.3.x-716a497cd277","data.3.hoverinfo-716a21dda852","data.3.text-716a5f55b0dc","data.1.y-2e644f3544b7","data.1.x-2e6432327301","data.1.hoverinfo-2e64e1c6066","data.1.text-2e6468fccfc6","data.2.y-2e642dad0603","data.2.x-2e643a65c662","data.2.hoverinfo-2e646fc369e1","data.2.text-2e6465c6c1a","data.2.marker.size-2e641dbd2239","data.2.textfont.size-2e646c11db6f","data.3.y-2e6485d8bd7","data.3.x-2e643587d48b","data.3.hoverinfo-2e6468930d21","data.3.text-2e64e43272a","data.1.y-55e3407422f7","data.1.x-55e38a3a730","data.1.hoverinfo-55e3303544be","data.1.text-55e379342eab","data.2.y-55e350e41ab7","data.2.x-55e32f960dde","data.2.hoverinfo-55e32468823a","data.2.text-55e3493dc082","data.2.marker.size-55e37529bc5e","data.2.textfont.size-55e370dfb6a","data.3.y-55e326f4efc4","data.3.x-55e31aa940d7","data.3.hoverinfo-55e35ddff0ed","data.3.text-55e3194287c1","data.1.y-16bb6a20b69b","data.1.x-16bb9b4b08c","data.1.hoverinfo-16bb35b2bc4e","data.1.text-16bb6968c06c","data.2.y-16bb5c312884","data.2.x-16bb1f5b2165","data.2.hoverinfo-16bb17ed7df8","data.2.text-16bb68e9310d","data.2.marker.size-16bb2593824a","data.2.textfont.size-16bb774edb8b","data.3.y-16bb5a2fbfde","data.3.x-16bb74ddb613","data.3.hoverinfo-16bb7dcd556","data.3.text-16bb333a0522","data.1.y-f8e4457ce8ba","data.1.x-f8e4b932efa","data.1.hoverinfo-f8e46bf12505","data.1.text-f8e424b5a2a0","data.2.y-f8e410c7c934","data.2.x-f8e42c6a7d87","data.2.hoverinfo-f8e435740d9","data.2.text-f8e455626845","data.2.marker.size-f8e42fabb5ce","data.2.textfont.size-f8e4322cffd5","data.3.y-f8e4285012af","data.3.x-f8e420fab3d6","data.3.hoverinfo-f8e42b34b784","data.3.text-f8e411fc5145","data.1.y-bb2222507912","data.1.x-bb22513c9e57","data.1.hoverinfo-bb2262bf8b6b","data.1.text-bb22d5a5073","data.2.y-bb222457b4de","data.2.x-bb227a236d75","data.2.hoverinfo-bb222be75af8","data.2.text-bb226205664c","data.2.marker.size-bb22507f39da","data.2.textfont.size-bb2250af407f","data.3.y-bb2221b37b3b","data.3.x-bb22e5f6fc6","data.3.hoverinfo-bb221ba33789","data.3.text-bb227893118b","data.1.y-50ec34629b10","data.1.x-50ec35b2524e","data.1.hoverinfo-50ec4e399a6c","data.1.text-50ec27c95093","data.2.y-50ec11c8f74d","data.2.x-50ec20e3e95a","data.2.hoverinfo-50ec52ed2494","data.2.text-50ec4efc9b14","data.2.marker.size-50ec2a29668f","data.2.textfont.size-50ec40c4be9","data.1.y-ccea1b920281","data.1.x-cceaee2714b","data.1.hoverinfo-ccea347bfa8f","data.1.text-ccea377edd34","data.2.y-ccea69ec9d62","data.2.x-ccea2d50c342","data.2.hoverinfo-ccea1143394c","data.2.text-ccea5466b56e","data.2.marker.size-ccea2311740c","data.2.textfont.size-ccea4ed9d1d0","data.3.y-ccea3e5dd721","data.3.x-ccea2d6d784","data.1.y-506d57513558","data.1.x-506d14855131","data.1.hoverinfo-506d3c95727d","data.1.text-506d778f8b9d","data.2.y-506d71172dbd","data.2.x-506d28bc0d4c","data.2.hoverinfo-506d520d0d78","data.2.text-506d56ef6b5d","data.2.marker.size-506d71d342","data.2.textfont.size-506d30e49248","data.3.y-506d6e3fce0b","data.3.x-506d1ef06cb9","data.3.hoverinfo-506d3a71f58d","data.3.text-506dfb019f5","data.1.y-f674e42c59e","data.1.x-f671bc3036","data.1.hoverinfo-f676a012a1d","data.1.text-f6772740c49","data.2.y-f6720d2c753","data.2.x-f676e1c2afa","data.2.hoverinfo-f677b49bb8f","data.2.text-f6725b8e885","data.2.marker.size-f67ea9871c","data.2.textfont.size-f671be546c9","data.3.y-f67698a446d","data.3.x-f677492863c","data.3.hoverinfo-f673fab08ee","data.3.text-f6775d761e9","data.1.y-24743608241","data.1.x-247435077b22","data.1.hoverinfo-24747e251060","data.1.text-247433564f53","data.2.y-24746771ec79","data.2.x-2474685c30fd","data.2.hoverinfo-24747c946791","data.2.text-2474731ba07c","data.2.marker.size-24741ac567ee","data.2.textfont.size-2474162a47fd","data.3.y-247431dc3e69","data.3.x-247472857911","data.3.hoverinfo-247418cf85d4","data.3.text-2474605b2e05","data.1.y-b14b41596c05","data.1.x-b14b55c2ddc7","data.1.hoverinfo-b14b6c6e5fcd","data.1.text-b14b4253c358","data.2.y-b14b93de86d","data.2.x-b14b3f6650d8","data.2.hoverinfo-b14b5645b56c","data.2.text-b14b7a89f1b3","data.2.marker.size-b14b765b5d9e","data.2.textfont.size-b14b685f6cc6","data.3.y-b14b50de70b2","data.3.x-b14b3bb8df98","data.3.hoverinfo-b14b665f92c9","data.3.text-b14bc9dfea1","data.1.y-3b707667f992","data.1.x-3b7024321cf9","data.1.hoverinfo-3b70560c31ff","data.1.text-3b703aa6887b","data.2.y-3b70b4a6152","data.2.x-3b70403b5448","data.2.hoverinfo-3b70771a63e9","data.2.text-3b7065959315","data.2.marker.size-3b703eeb7bcd","data.2.textfont.size-3b70560cf000","data.3.y-3b706b60bc22","data.3.x-3b701bdf9341","data.3.hoverinfo-3b70733c9eb2","data.3.text-3b7010d6f339","data.1.y-9caeb0e5d77","data.1.x-9cae5c1a354c","data.1.hoverinfo-9cae3ca13fd1","data.1.text-9cae7e64d16f","data.2.y-9caecf20f3d","data.2.x-9cae67c6746e","data.2.hoverinfo-9cae160616fc","data.2.text-9cae69cf05af","data.2.marker.size-9cae167e5a6e","data.2.textfont.size-9cae4162f74b","data.3.y-9cae48597e76","data.3.x-9cae6b7d9a15","data.3.hoverinfo-9cae30f0fd5","data.3.text-9cae51d86a84","data.1.y-3f1513d2e522","data.1.x-3f157ac12558","data.1.hoverinfo-3f151e7af35e","data.1.text-3f1519ffaff4","data.2.y-3f156178c981","data.2.x-3f1540f56625","data.2.hoverinfo-3f152f052874","data.2.text-3f157ba2efc9","data.2.marker.size-3f1562cb489","data.2.textfont.size-3f1561009189","data.1.y-66510adbc6f","data.1.x-6657e2e23f6","data.1.hoverinfo-66573b2c32","data.1.text-6653dd28a53","data.2.y-66549776eda","data.2.x-665400ecfe4","data.2.hoverinfo-665c72a297","data.2.text-6653a106de3","data.2.marker.size-665c9e6fdd","data.2.textfont.size-66575c21ca3","data.3.y-6651ae64dbb","data.3.x-6655f93dc9"
"Jan","26.4","Jan","text","1987 26.4 mm","68.0451612903226","Jan","text","68.0451612903226 mm","77.9466442600567","31.6","Jan","Jan","26.4","Jan","text","1987 26.4 mm","68.0451612903226","Jan","text","68.0451612903226 mm","77.9466442600567","31.6","Jan","Jan","26.4","Jan","text","1987 26.4 mm","68.0451612903226","Jan","text","68.0451612903226 mm","77.9466442600567","74.3","Jan","text","2018 74.3 mm","Jan","26.4","Jan","text","1987 26.4 mm","68.0451612903226","Jan","text","68.0451612903226 mm","77.9466442600567","74.3","Jan","text","2018 74.3 mm","Jan","26.4","Jan","text","1987 26.4 mm","68.0451612903226","Jan","text","68.0451612903226 mm","77.9466442600567","74.3","Jan","text","2018 74.3 mm","Jan","26.4","Jan","text","1987 26.4 mm","68.0451612903226","Jan","text","68.0451612903226 mm","77.9466442600567","74.3","Jan","text","2018 74.3 mm","Jan","26.4","Jan","text","1987 26.4 mm","68.240625","Jan","text","68.240625 mm","77.6638176638176","34.9","Jan","text","2019 34.9 mm","Jan","26.4","Jan","text","1987 26.4 mm","68.240625","Jan","text","68.240625 mm","77.6638176638176","34.9","Jan","text","2019 34.9 mm","Jan","26.4","Jan","text","1987 26.4 mm","68.240625","Jan","text","68.240625 mm","77.6638176638176","34.9","Jan","text","2019 34.9 mm","26.4","Jan","text","1987 26.4 mm","67.230303030303","Jan","text","67.230303030303 mm","71.5765900268737","71.5765900268737","66.2","Jan","26.4","Jan","text","1987 26.4 mm","67.230303030303","Jan","text","67.230303030303 mm","71.5765900268737","71.5765900268737","66.2","Jan","text","2020 66.2 mm","26.4","Jan","text","1987 26.4 mm","67.230303030303","Jan","text","67.230303030303 mm","71.5765900268737","71.5765900268737","66.2","Jan","text","2020 66.2 mm","26.4","Jan","text","1987 26.4 mm","67.230303030303","Jan","text","67.230303030303 mm","71.5765900268737","71.5765900268737","66.2","Jan","text","2020 66.2 mm","26.4","Jan","text","1987 26.4 mm","67.230303030303","Jan","text","67.230303030303 mm","71.5765900268737","71.5765900268737","66.2","Jan","text","2020 66.2 mm","26.4","Jan","text","1987 26.4 mm","67.2","Jan","text","67.2 mm","70.1969740222665","70.1969740222665","26.4","Jan","text","1987 26.4 mm","67.2","Jan","text","67.2 mm","70.1969740222665","70.1969740222665","38.4","Jan","26.4","Jan","text","1987 26.4 mm","67.2","Jan","text","67.2 mm","70.1969740222665","70.1969740222665","38.4","Jan","text","2021 38.4 mm","26.4","Jan","text","1987 26.4 mm","67.2","Jan","text","67.2 mm","70.1969740222665","70.1969740222665","38.4","Jan","text","2021 38.4 mm","26.4","Jan","text","1987 26.4 mm","67.2","Jan","text","67.2 mm","70.1969740159826","70.1969740159826","38.4","Jan","text","2021 38.4 mm","26.4","Jan","text","1987 26.4 mm","67.2","Jan","text","67.2 mm","70.1969740159826","70.1969740159826","38.4","Jan","text","2021 38.4 mm","26.4","Jan","text","1987 26.4 mm","67.2","Jan","text","67.2 mm","70.1969740159826","70.1969740159826","38.4","Jan","text","2021 38.4 mm","26.4","Jan","text","1987 26.4 mm","66.3771428571429","Jan","text","66.3771428571429 mm","66.2747513860779","66.2747513860779","26.4","Jan","text","1987 26.4 mm","66.3771428571429","Jan","text","66.3771428571429 mm","66.2747513860779","66.2747513860779","19.6","Jan","text","2022 19.6 mm","26.4","Jan","text","1987 26.4 mm","66.3771428571429","Jan","text","66.3771428571429 mm","66.2747513860779","66.2747513860779","19.6","Jan","text","2022 19.6 mm","26.4","Jan","text","1987 26.4 mm","66.3771428571429","Jan","text","66.3771428571429 mm","66.2747513860779","66.2747513860779","19.6","Jan","text","2022 19.6 mm","26.4","Jan","text","1987 26.4 mm","66.3771428571429","Jan","text","66.3771428571429 mm","66.2747513860779","66.2747513860779","19.6","Jan","text","2022 19.6 mm","26.4","Jan","text","1987 26.4 mm","66.3771428571429","Jan","text","66.3771428571429 mm","66.2747513860779","66.2747513860779","19.6","Jan","text","2022 19.6 mm","26.4","Jan","text","1987 26.4 mm","66.3771428571429","Jan","text","66.3771428571429 mm","66.2747513860779","66.2747513860779","19.6","Jan","text","2022 19.6 mm","26.4","Jan","text","1987 26.4 mm","65.0777777777778","Jan","text","65.0777777777778 mm","61.9442292796283","61.9442292796283","26.4","Jan","text","1987 26.4 mm","65.0777777777778","Jan","text","65.0777777777778 mm","61.9442292796283","61.9442292796283","79.288","Jan","26.4","Jan","text","1987 26.4 mm","65.0777777777778","Jan","text","65.0777777777778 mm","61.9442292796283","61.9442292796283","79.288","Jan","text","2023 79.288 mm","26.4","Jan","text","1987 26.4 mm","65.0777777777778","Jan","text","65.0777777777778 mm","61.9442292796283","61.9442292796283","79.288","Jan","text","2023 79.288 mm","26.4","Jan","text","1987 26.4 mm","65.0777777777778","Jan","text","65.0777777777778 mm","61.9442292796283","61.9442292796283","79.288","Jan","text","2023 79.288 mm","26.4","Jan","text","1987 26.4 mm","65.0777777777778","Jan","text","65.0777777777778 mm","61.9442292796283","61.9442292796283","79.288","Jan","text","2023 79.288 mm","26.4","Jan","text","1987 26.4 mm","65.0777777777778","Jan","text","65.0777777777778 mm","61.9442292796283","61.9442292796283","79.288","Jan","text","2023 79.288 mm","26.4","Jan","text","1987 26.4 mm","65.0777777777778","Jan","text","65.0777777777778 mm","61.94422927962825","61.94422927962825","79.288","Jan","text","2023 79.288 mm","26.4","Jan","text","1987 26.4 mm","65.4618378378378","Jan","text","65.4618378378378 mm","63.341229998613024","63.341229998613024","26.4","Jan","text","1987 26.4 mm","65.4618378378378","Jan","text","65.4618378378378 mm","63.341229998613024","63.341229998613024","43.056","Jan"
"Feb","34.6","Feb","text","1987 34.6 mm","51.6935483870968","Feb","text","51.6935483870968 mm","30.0304589854008","","","Feb","34.6","Feb","text","1987 34.6 mm","51.6935483870968","Feb","text","51.6935483870968 mm","30.0304589854008","","","Feb","34.6","Feb","text","1987 34.6 mm","51.6935483870968","Feb","text","51.6935483870968 mm","30.0304589854008","38.2","Feb","text","2018 38.2 mm","Feb","34.6","Feb","text","1987 34.6 mm","51.6935483870968","Feb","text","51.6935483870968 mm","30.0304589854008","38.2","Feb","text","2018 38.2 mm","Feb","34.6","Feb","text","1987 34.6 mm","51.6935483870968","Feb","text","51.6935483870968 mm","30.0304589854008","38.2","Feb","text","2018 38.2 mm","Feb","34.6","Feb","text","1987 34.6 mm","51.6935483870968","Feb","text","51.6935483870968 mm","30.0304589854008","38.2","Feb","text","2018 38.2 mm","Feb","34.6","Feb","text","1987 34.6 mm","51.271875","Feb","text","51.271875 mm","26.0968660968661","49.7","Feb","text","2019 49.7 mm","Feb","34.6","Feb","text","1987 34.6 mm","51.271875","Feb","text","51.271875 mm","26.0968660968661","49.7","Feb","text","2019 49.7 mm","Feb","34.6","Feb","text","1987 34.6 mm","51.271875","Feb","text","51.271875 mm","26.0968660968661","49.7","Feb","text","2019 49.7 mm","34.6","Feb","text","1987 34.6 mm","51.2242424242424","Feb","text","51.2242424242424 mm","24.2609734249029","24.2609734249029","","","34.6","Feb","text","1987 34.6 mm","51.2242424242424","Feb","text","51.2242424242424 mm","24.2609734249029","24.2609734249029","126","Feb","text","2020 126 mm","34.6","Feb","text","1987 34.6 mm","51.2242424242424","Feb","text","51.2242424242424 mm","24.2609734249029","24.2609734249029","126","Feb","text","2020 126 mm","34.6","Feb","text","1987 34.6 mm","51.2242424242424","Feb","text","51.2242424242424 mm","24.2609734249029","24.2609734249029","126","Feb","text","2020 126 mm","34.6","Feb","text","1987 34.6 mm","51.2242424242424","Feb","text","51.2242424242424 mm","24.2609734249029","24.2609734249029","126","Feb","text","2020 126 mm","34.6","Feb","text","1987 34.6 mm","53.4235294117647","Feb","text","53.4235294117647 mm","30.0827861832714","30.0827861832714","34.6","Feb","text","1987 34.6 mm","53.4235294117647","Feb","text","53.4235294117647 mm","30.0827861832714","30.0827861832714","","","34.6","Feb","text","1987 34.6 mm","53.4235294117647","Feb","text","53.4235294117647 mm","30.0827861832714","30.0827861832714","82.4","Feb","text","2021 82.4 mm","34.6","Feb","text","1987 34.6 mm","53.4235294117647","Feb","text","53.4235294117647 mm","30.0827861832714","30.0827861832714","82.4","Feb","text","2021 82.4 mm","34.6","Feb","text","1987 34.6 mm","53.42352941","Feb","text","53.42352941 mm","30.0827861726124","30.0827861726124","82.4","Feb","text","2021 82.4 mm","34.6","Feb","text","1987 34.6 mm","53.42352941","Feb","text","53.42352941 mm","30.0827861726124","30.0827861726124","82.4","Feb","text","2021 82.4 mm","34.6","Feb","text","1987 34.6 mm","53.42352941","Feb","text","53.42352941 mm","30.0827861726124","30.0827861726124","82.4","Feb","text","2021 82.4 mm","34.6","Feb","text","1987 34.6 mm","54.2514285714286","Feb","text","54.2514285714286 mm","32.6603889817832","32.6603889817832","34.6","Feb","text","1987 34.6 mm","54.2514285714286","Feb","text","54.2514285714286 mm","32.6603889817832","32.6603889817832","57.2","Feb","text","2022 57.2 mm","34.6","Feb","text","1987 34.6 mm","54.2514285714286","Feb","text","54.2514285714286 mm","32.6603889817832","32.6603889817832","57.2","Feb","text","2022 57.2 mm","34.6","Feb","text","1987 34.6 mm","54.2514285714286","Feb","text","54.2514285714286 mm","32.6603889817832","32.6603889817832","57.2","Feb","text","2022 57.2 mm","34.6","Feb","text","1987 34.6 mm","54.2514285714286","Feb","text","54.2514285714286 mm","32.6603889817832","32.6603889817832","57.2","Feb","text","2022 57.2 mm","34.6","Feb","text","1987 34.6 mm","54.2514285714286","Feb","text","54.2514285714286 mm","32.6603889817832","32.6603889817832","57.2","Feb","text","2022 57.2 mm","34.6","Feb","text","1987 34.6 mm","54.2514285714286","Feb","text","54.2514285714286 mm","32.6603889817832","32.6603889817832","57.2","Feb","text","2022 57.2 mm","34.6","Feb","text","1987 34.6 mm","54.3333333333333","Feb","text","54.3333333333333 mm","31.982958946553","31.982958946553","34.6","Feb","text","1987 34.6 mm","54.3333333333333","Feb","text","54.3333333333333 mm","31.982958946553","31.982958946553","","","34.6","Feb","text","1987 34.6 mm","54.3333333333333","Feb","text","54.3333333333333 mm","31.982958946553","31.982958946553","0.552","Feb","text","2023 0.552 mm","34.6","Feb","text","1987 34.6 mm","54.3333333333333","Feb","text","54.3333333333333 mm","31.982958946553","31.982958946553","0.552","Feb","text","2023 0.552 mm","34.6","Feb","text","1987 34.6 mm","54.3333333333333","Feb","text","54.3333333333333 mm","31.982958946553","31.982958946553","0.552","Feb","text","2023 0.552 mm","34.6","Feb","text","1987 34.6 mm","54.3333333333333","Feb","text","54.3333333333333 mm","31.982958946553","31.982958946553","0.552","Feb","text","2023 0.552 mm","34.6","Feb","text","1987 34.6 mm","54.3333333333333","Feb","text","54.3333333333333 mm","31.982958946553","31.982958946553","0.552","Feb","text","2023 0.552 mm","34.6","Feb","text","1987 34.6 mm","54.3333333333333","Feb","text","54.3333333333333 mm","31.982958946552966","31.982958946552966","0.552","Feb","text","2023 0.552 mm","34.6","Feb","text","1987 34.6 mm","52.8797837837838","Feb","text","52.8797837837838 mm","29.943883724526653","29.943883724526653","34.6","Feb","text","1987 34.6 mm","52.8797837837838","Feb","text","52.8797837837838 mm","29.943883724526653","29.943883724526653","",""
