"","wn","ro","pet","aet","snow","cond","bflow","netr","sm_lim"
"364",371.551415581221,0,94.8600129357153,45.4814085268802,0,1.06891061850488,0.534178081678505,279.000459707193,1
"365",367.432977138707,0,119.790381779894,65.7465477261497,0,1.01639242584273,0.257247399168823,339.310812476559,1
"366",360.711594824042,0,123.682165576594,72.4597938878284,0,0.925639776573108,0.127425317219746,344.007935029655,1
"367",367.450449090284,0,110.932256516695,64.2114140062613,0,0.82591514191227,0.341695979283633,309.559034219632,1
"368",390.806601158344,19.275108388318,85.4386663391602,46.6853836331013,0,0.773064828054227,1.42140400077699,242.167917946258,1
"369",393.37123597943,43.0810198228854,52.4079545950165,26.9676836172291,0,0.649049877624713,1.34324723221895,150.927755195017,1
"370",393.474645757454,16.187295976992,29.0392704866232,13.3282184259994,0,0.547113165531036,1.32441298959367,86.3767680440055,1
"371",393.50460706804,33.0429342887408,14.5320036047393,5.62007469709416,0,0.477428333400432,1.11260247259439,45.3710542060445,1
"372",393.50802718046,89.7302097683906,10.7640788121208,4.07193032745809,0,0.645464748409686,1.04366573665382,33.8052709843838,1
"373",393.508212471175,67.9858017350351,17.1445787607814,6.16768575754775,0,0.894437826987295,1.03792172447991,54.7096786927716,1
"374",393.490797197215,27.6828203565823,27.9712824664381,10.2467976741943,0,0.715103930325752,0.990123674347489,88.8668414030276,1
"375",393.418130054276,57.9834316518836,52.8958164946107,23.4752697852621,0,0.789752371203202,1.19794709880174,158.968007086102,1
"376",392.801893887544,39.2945606093316,93.7429626541732,47.9769594352795,0,1.08981965210817,1.30219983173961,270.560035945738,1
"377",382.545351023767,1.01066654254362,136.394472929355,76.3482993428254,0,1.31212207260376,1.07877779159149,384.136324319207,1
"378",329.838314156003,0,139.863352957291,85.4616698327413,0,1.20820918865561,0.0284068088880519,384.417649544515,0.966209679442652
"379",259.513348734107,0,118.22027676985,70.348509322276,0,1.06914471072313,3.39798846426021e-07,323.365022771021,0.644425027231145
"380",230.987150496963,0,81.6758723924275,40.2033775595525,0,0.894906751803627,1.6503628726642e-11,228.266368745538,0.475323208086366
"381",235.25502994123,0,56.4497260664203,24.7893629653235,0,0.870105962100383,7.01400808072593e-11,162.26748448214,0.500622975406092
"382",275.263834290076,0,33.2897592267869,14.7879007178896,0,0.721538260506874,4.04229032060974e-06,98.5364699032294,0.737793086226811
"383",337.156636090579,0,14.8837901092803,6.39272822304947,0,0.551266290626654,0.0317028876053248,45.0440764506593,0.991986939757422
"384",390.478343623762,48.6151047956477,12.0448281328321,4.77099238649784,0,0.841425266965797,1.04364891389442,37.3190862340106,1
"385",393.500115516978,26.7736604964422,21.8209044495724,8.52755487895446,0,1.56128007687755,1.16692275370896,67.8823530405989,1
"386",393.451941401948,33.5929130658096,39.2858364990193,16.913545958919,0,1.56511974964399,1.10217799222601,118.87855176316,1
"387",393.329145911753,26.9136811859394,73.817688375314,33.5946272765723,0,1.48726003044967,1.26794841181279,220.030986721127,1
"388",380.064250417798,0,103.871160340308,49.811392468538,0,1.24765436543501,0.844622514818012,305.399677234916,1
"389",356.884183262752,0,126.789713888266,67.2934146276877,0,1.09289616158719,0.0573934509101347,362.559049839914,1
"390",367.035827791247,0,133.981816516563,78.6055577106255,0,1.06745116475849,0.437604621134605,372.528742641396,1
"391",366.792178936007,0,135.710131278282,82.3515937981763,0,1.24639574418156,0.407776227973904,373.636908607347,1
"392",338.480602174542,0,105.629266561067,61.3956698802533,0,1.19724042177086,0.00695305187405857,294.207290614594,1
"393",352.996380496271,0,61.2764617664436,32.2259455022092,0,0.857987564436069,0.0709625653679036,175.421436169749,1
"394",391.779066410363,83.4946270203394,28.9228742598942,13.0768647476676,0,0.533541504668663,1.12365777558667,86.3748483075434,1
"395",393.506278859002,99.9246153664543,14.9135788813787,6.06114666483412,0,0.540581439549572,1.06244874373045,45.8711382550348,1
"396",393.506158847173,111.032723352128,12.3594461453219,5.06696237659068,0,0.905933989863617,1.10158406854826,37.8931645272348,1
"397",393.503574075191,58.3665670030804,18.8232068429994,7.88642789296572,0,1.23201271847088,1.18171199998262,57.3572945937542,1
"398",393.502178027361,109.738443577787,39.4294011730217,16.6363071855958,0,1.41923727134781,1.03857748589519,120.007077789258,1
"399",393.138417996282,14.6033522320772,84.9206691311589,38.7486314184822,0,1.82864961837219,1.2797864764421,253.021476961501,1
"400",381.183433704522,0,133.159057273526,67.329504189992,0,1.98995571767188,0.906136300022825,385.580431025576,1
